Dominio;Evento;Datos;Ubicación;Fecha;Velocidad;Latitud;Longitud;
"AA599MH";"Cambio de curso";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:23:20";"13";"-38,91161";"-68,14467";""
"AA599MH";"Cambio de curso";"";"S/N a 10.85 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:23:12";"10";"-38,91164";"-68,14494";""
"AA599MH";"Cambio de curso";"";"S/N a 10.84 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:23:08";"10";"-38,91155";"-68,14506";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.87 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:22:56";"0";"-38,9114";"-68,14485";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:22:26";"0";"-38,91141";"-68,14481";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:21:56";"0";"-38,91141";"-68,14481";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:21:27";"0";"-38,91141";"-68,14481";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:20:56";"0";"-38,91141";"-68,14481";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:20:26";"0";"-38,91141";"-68,14481";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:19:56";"0";"-38,91141";"-68,14481";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:19:27";"0";"-38,91142";"-68,14481";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:18:56";"0";"-38,91142";"-68,14481";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:18:26";"0";"-38,91142";"-68,1448";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:17:55";"0";"-38,91142";"-68,1448";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:17:26";"0";"-38,91142";"-68,1448";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:16:55";"0";"-38,91142";"-68,1448";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:16:25";"0";"-38,91142";"-68,1448";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:15:55";"0";"-38,91142";"-68,1448";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:15:26";"0";"-38,91142";"-68,1448";""
"AA599MH";"Inicio de detenido";" | 00:08:55";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:15:13";"0";"-38,91142";"-68,1448";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:14:55";"0";"-38,91142";"-68,1448";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:14:25";"0";"-38,91142";"-68,1448";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:13:56";"0";"-38,91142";"-68,14481";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:13:27";"0";"-38,91143";"-68,14481";""
"AA599MH";"Cambio de curso";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:13:01";"10";"-38,91161";"-68,14458";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.88 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:12:56";"13";"-38,91171";"-68,14451";""
